,ACSF1,Computers,ElectricDevices,HouseTwenty,LargeKitchenAppliances,PLAID,PowerCons,RefrigerationDevices,ScreenType,SmallKitchenAppliances
ACSF1,inf,23.42734736295759,23.353570837011002,20064.35718850218,24.445784049775785,24.848500875894644,25.45791849136142,20.26823643584351,23.787618810351688,24.217931628128138
Computers,23.42734736295759,inf,6.577103324272714,20060.740618661595,5.677394999532438,10.35044100597231,12.540859244301673,10.986475337496103,7.008789759893639,11.85289263190332
ElectricDevices,23.353570837011002,6.577103324272714,inf,20030.851888910947,5.330558190606386,4.805684915946079,6.192440759344425,7.896110160468902,6.281670497245285,10.512871499616999
HouseTwenty,20064.35718850218,20060.740618661595,20030.851888910947,inf,19973.463674158418,13613.816769328168,20059.44820233034,20125.685685410048,20077.840311416363,19806.038337964816
LargeKitchenAppliances,24.445784049775785,5.677394999532438,5.330558190606386,19973.463674158418,inf,7.470824161715004,11.33596247449233,12.15272832622922,7.003335102668982,8.59394269382591
PLAID,24.848500875894644,10.35044100597231,4.805684915946079,13613.816769328168,7.470824161715004,inf,4.279370113635444,12.725502177028995,10.031356191283209,12.182379695986363
PowerCons,25.45791849136142,12.540859244301673,6.192440759344425,20059.44820233034,11.33596247449233,4.279370113635444,inf,13.67808717678736,12.98721359801989,14.928052625084156
RefrigerationDevices,20.26823643584351,10.986475337496103,7.896110160468902,20125.685685410048,12.15272832622922,12.725502177028995,13.67808717678736,inf,9.819385399851978,15.575192414414394
ScreenType,23.787618810351688,7.008789759893639,6.281670497245285,20077.840311416363,7.003335102668982,10.031356191283209,12.98721359801989,9.819385399851978,inf,12.355886526132496
SmallKitchenAppliances,24.217931628128138,11.85289263190332,10.512871499616999,19806.038337964816,8.59394269382591,12.182379695986363,14.928052625084156,15.575192414414394,12.355886526132496,inf
