,CinCECGTorso,ECG200,ECG5000,ECGFiveDays,EOGHorizontalSignal,EOGVerticalSignal,InsectEPGRegularTrain,InsectEPGSmallTrain,NonInvasiveFetalECGThorax1,NonInvasiveFetalECGThorax2,TwoLeadECG
CinCECGTorso,inf,10.375992766874479,10.439118774495208,7.7401304422347295,310.70513304719077,1135.4156825281318,15.18891285333875,15.509355140060704,10.68605369230176,10.301637890636387,10.253376067335791
ECG200,10.375992766874479,inf,4.8763248082826065,5.825202832235147,359.3389284734652,1208.0741639595865,7.320648135968066,7.118185181064813,11.81493663908109,11.961919171486802,2.942361093678242
ECG5000,10.439118774495208,4.8763248082826065,inf,4.802450579408234,367.5871525400508,1182.5468038612528,6.876154435842022,7.217383508960173,10.976523238663763,8.48518585596683,3.63863015294133
ECGFiveDays,7.7401304422347295,5.825202832235147,4.802450579408234,inf,358.52258117517243,1157.2562477592126,10.140419144574288,10.400995938852006,11.119367757394976,12.702886622127496,4.292670767114767
EOGHorizontalSignal,310.70513304719077,359.3389284734652,367.5871525400508,358.52258117517243,inf,443.94585037954414,362.0940438575339,358.4604292954009,336.7212863156549,338.4854501078983,379.4855574939958
EOGVerticalSignal,1135.4156825281318,1208.0741639595865,1182.5468038612528,1157.2562477592126,443.94585037954414,inf,1236.0666979876332,1237.5062900768298,1171.390498995722,1176.150851393249,1200.5668295424273
InsectEPGRegularTrain,15.18891285333875,7.320648135968066,6.876154435842022,10.140419144574288,362.0940438575339,1236.0666979876332,inf,0.14382920519304726,24.547324917753087,24.890132079972517,8.329395386902467
InsectEPGSmallTrain,15.509355140060704,7.118185181064813,7.217383508960173,10.400995938852006,358.4604292954009,1237.5062900768298,0.14382920519304726,inf,25.26078279347329,25.58312022416301,8.177187545372847
NonInvasiveFetalECGThorax1,10.68605369230176,11.81493663908109,10.976523238663763,11.119367757394976,336.7212863156549,1171.390498995722,24.547324917753087,25.26078279347329,inf,0.6236231082241844,13.917906764447293
NonInvasiveFetalECGThorax2,10.301637890636387,11.961919171486802,8.48518585596683,12.702886622127496,338.4854501078983,1176.150851393249,24.890132079972517,25.58312022416301,0.6236231082241844,inf,14.907521853566502
TwoLeadECG,10.253376067335791,2.942361093678242,3.63863015294133,4.292670767114767,379.4855574939958,1200.5668295424273,8.329395386902467,8.177187545372847,13.917906764447293,14.907521853566502,inf
